batch_id,timestamp,machine_id,operator_id,shift,temperature,pressure,humidity,speed,material_grade,defect_type,defect_count
B00040,2024-07-01 08:31:06.426642664,M4,OP13,Afternoon,178.3,39.4,51.6,99.8,B,None,0
B00041,2024-07-01 08:44:12.745274527,M9,OP02,Morning,210.0,49.6,45.1,113.0,B,Surface,4
B00042,2024-07-01 08:57:19.063906390,M2,OP02,Afternoon,206.6,47.2,51.4,109.5,C,None,0
B00043,2024-07-01 09:10:25.382538253,M10,OP14,Night,187.4,49.1,41.0,104.3,B,None,0
B00044,2024-07-01 09:23:31.701170117,M9,OP04,Morning,233.7,48.0,51.3,96.2,A,None,0
B00045,2024-07-01 09:36:38.019801980,M10,OP17,Morning,185.7,48.5,34.8,98.1,B,None,0
B00046,2024-07-01 09:49:44.338433843,M5,OP13,Morning,211.0,46.7,58.7,107.2,B,None,0
B00047,2024-07-01 10:02:50.657065706,M2,OP04,Afternoon,204.2,47.0,37.6,100.5,B,None,0
B00048,2024-07-01 10:15:56.975697569,M4,OP03,Night,193.8,46.2,62.4,115.4,B,None,0
B00049,2024-07-01 10:29:03.294329432,M7,OP12,Afternoon,201.4,49.2,53.4,97.5,B,None,0
B00050,2024-07-01 10:42:09.612961296,M8,OP08,Morning,208.0,45.4,54.7,99.0,B,None,0
B00051,2024-07-01 10:55:15.931593159,M3,OP02,Night,242.8,55.0,46.5,115.1,B,None,0
B00052,2024-07-01 11:08:22.250225022,M1,OP06,Night,178.3,50.0,54.3,92.0,B,None,0
B00053,2024-07-01 11:21:28.568856885,M4,OP10,Afternoon,159.3,43.9,51.5,116.5,B,None,0
B00054,2024-07-01 11:34:34.887488748,M2,OP12,Morning,184.8,50.9,40.8,82.6,B,None,0
B00055,2024-07-01 11:47:41.206120612,M8,OP10,Morning,199.5,46.4,56.2,93.2,A,None,0
B00056,2024-07-01 12:00:47.524752475,M4,OP10,Night,210.0,54.2,43.3,91.0,B,None,0
B00057,2024-07-01 12:13:53.843384338,M2,OP03,Afternoon,201.4,47.5,68.7,86.6,C,None,0
B00058,2024-07-01 12:27:00.162016201,M6,OP20,Afternoon,197.7,55.6,43.7,94.5,A,None,0
B00059,2024-07-01 12:40:06.480648064,M6,OP10,Morning,223.1,54.0,37.1,96.3,B,None,0
B00060,2024-07-01 12:53:12.799279927,M10,OP09,Afternoon,188.1,64.6,63.5,101.5,B,None,0
B00061,2024-07-01 13:06:19.117911791,M4,OP20,Night,224.9,50.4,56.2,83.4,A,Dimensional,3
B00062,2024-07-01 13:19:25.436543654,M6,OP19,Night,209.3,52.8,53.6,114.4,B,None,0
B00063,2024-07-01 13:32:31.755175517,M2,OP14,Morning,222.5,50.1,45.6,95.5,A,None,0
B00064,2024-07-01 13:45:38.073807380,M10,OP02,Afternoon,185.9,50.3,50.5,101.7,C,None,0
B00065,2024-07-01 13:58:44.392439243,M2,OP05,Afternoon,194.7,54.9,48.7,95.1,A,None,0
B00066,2024-07-01 14:11:50.711071107,M10,OP20,Night,178.1,53.1,57.1,100.0,C,None,0
B00067,2024-07-01 14:24:57.029702970,M4,OP08,Night,204.5,49.6,45.3,102.1,A,None,0
B00068,2024-07-01 14:38:03.348334833,M8,OP07,Night,204.8,55.3,46.0,105.4,B,None,0
B00069,2024-07-01 14:51:09.666966696,M7,OP06,Night,230.1,54.0,55.8,86.0,A,Structural,4
B00070,2024-07-01 15:04:15.985598559,M9,OP11,Morning,201.2,56.2,60.6,114.4,C,None,0
B00071,2024-07-01 15:17:22.304230423,M8,OP12,Night,177.2,54.9,46.9,79.8,B,None,0
B00072,2024-07-01 15:30:28.622862286,M5,OP18,Afternoon,214.2,48.6,55.2,102.0,A,None,0
B00073,2024-07-01 15:43:34.941494149,M2,OP19,Morning,186.3,48.2,58.3,102.3,A,None,0
B00074,2024-07-01 15:56:41.260126012,M5,OP10,Morning,181.0,48.3,42.7,94.3,A,None,0
B00075,2024-07-01 16:09:47.578757875,M8,OP14,Morning,210.5,53.1,47.8,99.1,A,None,0
B00076,2024-07-01 16:22:53.897389738,M10,OP03,Night,188.5,55.4,36.3,101.6,A,None,0
B00077,2024-07-01 16:36:00.216021602,M9,OP18,Morning,191.0,54.2,66.5,93.0,A,Dimensional,2
B00078,2024-07-01 16:49:06.534653465,M9,OP15,Night,221.0,44.3,52.0,78.3,C,None,0
B00079,2024-07-01 17:02:12.853285328,M1,OP06,Afternoon,207.7,47.1,57.3,96.2,C,None,0
B00080,2024-07-01 17:15:19.171917191,M9,OP10,Afternoon,209.0,52.7,46.8,115.0,B,None,0
B00081,2024-07-01 17:28:25.490549054,M7,OP12,Morning,179.4,54.9,46.0,91.5,C,Structural,3
B00082,2024-07-01 17:41:31.809180918,M9,OP07,Afternoon,210.6,51.2,49.2,95.5,B,None,0
B00083,2024-07-01 17:54:38.127812781,M8,OP17,Afternoon,195.8,56.1,48.6,96.0,A,None,0
B00084,2024-07-01 18:07:44.446444644,M1,OP01,Morning,193.3,42.4,68.9,96.0,B,None,0
B00085,2024-07-01 18:20:50.765076507,M8,OP18,Night,206.1,49.2,53.2,87.7,A,None,0
B00086,2024-07-01 18:33:57.083708370,M8,OP15,Afternoon,200.1,55.7,55.4,106.6,C,None,0
B00087,2024-07-01 18:47:03.402340234,M3,OP19,Morning,178.1,51.4,50.2,102.5,B,None,0
B00088,2024-07-01 19:00:09.720972097,M1,OP01,Night,214.3,46.8,50.6,97.5,A,Structural,5
B00089,2024-07-01 19:13:16.039603960,M8,OP05,Morning,215.7,53.2,55.4,90.5,B,None,0
B00090,2024-07-01 19:26:22.358235823,M3,OP15,Afternoon,191.2,50.5,49.7,94.6,A,None,0
B00091,2024-07-01 19:39:28.676867686,M3,OP03,Afternoon,209.1,48.2,61.2,103.9,A,None,0
B00092,2024-07-01 19:52:34.995499549,M1,OP01,Morning,213.7,43.7,43.4,103.0,A,Surface,2
B00093,2024-07-01 20:05:41.314131413,M5,OP08,Afternoon,172.0,52.8,59.7,99.3,B,None,0
B00094,2024-07-01 20:18:47.632763276,M10,OP12,Afternoon,192.3,45.7,59.3,104.1,B,None,0
B00095,2024-07-01 20:31:53.951395139,M7,OP19,Afternoon,167.3,58.6,66.7,116.3,A,None,0
B00096,2024-07-01 20:45:00.270027002,M10,OP12,Morning,209.5,42.9,36.0,108.8,B,Surface,3
B00097,2024-07-01 20:58:06.588658865,M9,OP13,Morning,206.7,50.2,58.6,89.6,B,None,0
B00098,2024-07-01 21:11:12.907290729,M7,OP01,Morning,190.2,53.0,44.7,113.5,B,None,0
B00099,2024-07-01 21:24:19.225922592,M9,OP19,Night,197.7,45.9,57.2,98.0,B,None,0
B00100,2024-07-01 21:37:25.544554455,M8,OP06,Morning,194.5,47.2,57.1,106.0,B,None,0
B00101,2024-07-01 21:50:31.863186318,M2,OP08,Afternoon,169.4,53.4,43.2,97.7,A,None,0
B00102,2024-07-01 22:03:38.181818181,M1,OP04,Night,219.5,46.2,55.7,85.9,C,None,0
B00103,2024-07-01 22:16:44.500450045,M7,OP05,Night,203.8,57.7,47.3,101.8,C,Surface,2
B00104,2024-07-01 22:29:50.819081908,M7,OP07,Night,197.8,50.2,44.5,110.8,B,None,0
B00105,2024-07-01 22:42:57.137713771,M8,OP04,Night,197.9,48.3,35.0,92.0,B,None,0
B00106,2024-07-01 22:56:03.456345634,M5,OP20,Afternoon,210.6,56.5,61.3,96.6,B,None,0
B00107,2024-07-01 23:09:09.774977497,M3,OP04,Morning,176.2,45.8,49.3,116.4,B,None,0
B00108,2024-07-01 23:22:16.093609360,M8,OP15,Morning,186.9,56.9,41.6,110.3,B,None,0
B00109,2024-07-01 23:35:22.412241224,M6,OP05,Morning,203.2,46.1,52.5,107.2,B,None,0
B00110,2024-07-01 23:48:28.730873087,M3,OP09,Afternoon,216.7,55.0,50.8,105.4,C,None,0
B00111,2024-07-02 00:01:35.049504950,M1,OP02,Morning,163.8,57.5,42.6,102.4,B,None,0
B00112,2024-07-02 00:14:41.368136813,M3,OP07,Night,214.9,49.6,42.8,92.9,C,None,0
B00113,2024-07-02 00:27:47.686768676,M5,OP17,Morning,189.4,49.6,58.9,95.8,C,Structural,2
B00114,2024-07-02 00:40:54.005400540,M3,OP16,Morning,195.7,48.9,51.7,110.6,B,None,0
B00115,2024-07-02 00:54:00.324032403,M1,OP17,Afternoon,200.5,46.9,44.8,98.7,B,None,0
B00116,2024-07-02 01:07:06.642664266,M5,OP20,Morning,183.4,50.3,47.0,85.8,C,Structural,3
B00117,2024-07-02 01:20:12.961296129,M10,OP02,Night,181.4,53.6,47.1,100.8,B,None,0
B00118,2024-07-02 01:33:19.279927992,M7,OP11,Night,203.1,52.4,36.6,84.3,B,None,0
B00119,2024-07-02 01:46:25.598559855,M7,OP02,Night,228.4,52.0,57.5,94.4,B,None,0
B00120,2024-07-02 01:59:31.917191719,M9,OP01,Morning,185.8,47.1,47.1,86.0,C,None,0
B00121,2024-07-02 02:12:38.235823582,M10,OP02,Night,185.7,45.7,48.8,99.9,B,None,0
B00122,2024-07-02 02:25:44.554455445,M10,OP09,Morning,181.6,57.1,54.5,102.0,B,Structural,1
B00123,2024-07-02 02:38:50.873087308,M3,OP02,Night,196.6,44.7,60.0,111.8,A,None,0
B00124,2024-07-02 02:51:57.191719171,M7,OP15,Morning,185.3,49.4,51.6,104.6,B,None,0
B00125,2024-07-02 03:05:03.510351035,M1,OP10,Morning,185.6,53.0,41.3,96.1,A,None,0
B00126,2024-07-02 03:18:09.828982898,M4,OP15,Night,203.2,56.1,48.0,92.7,B,None,0
B00127,2024-07-02 03:31:16.147614761,M4,OP10,Afternoon,178.3,50.1,49.5,103.6,B,None,0
B00128,2024-07-02 03:44:22.466246624,M5,OP17,Night,224.3,51.1,35.4,86.5,A,None,0
B00129,2024-07-02 03:57:28.784878487,M7,OP09,Afternoon,182.4,48.1,53.8,112.1,C,Structural,3
B00130,2024-07-02 04:10:35.103510351,M7,OP18,Night,217.0,56.9,55.3,103.4,B,None,0
B00131,2024-07-02 04:23:41.422142214,M4,OP04,Night,229.6,55.5,50.7,90.6,B,Structural,3
B00132,2024-07-02 04:36:47.740774077,M7,OP09,Afternoon,218.0,46.0,43.3,93.5,A,None,0
B00133,2024-07-02 04:49:54.059405940,M3,OP16,Afternoon,216.1,52.6,51.7,95.8,B,None,0
B00134,2024-07-02 05:03:00.378037803,M6,OP04,Afternoon,211.9,49.5,58.2,99.3,B,None,0
B00135,2024-07-02 05:16:06.696669666,M2,OP16,Night,203.2,51.2,48.3,102.4,B,None,0
B00136,2024-07-02 05:29:13.015301530,M10,OP19,Morning,217.7,46.8,56.4,97.8,B,None,0
B00137,2024-07-02 05:42:19.333933393,M9,OP01,Afternoon,196.1,42.2,53.5,102.6,B,Dimensional,1
B00138,2024-07-02 05:55:25.652565256,M5,OP06,Morning,213.0,45.6,34.9,96.2,C,None,0
B00139,2024-07-02 06:08:31.971197119,M6,OP10,Morning,216.6,47.8,45.9,111.5,B,None,0
B00140,2024-07-02 06:21:38.289828982,M4,OP16,Morning,207.6,48.0,54.2,106.1,A,None,0
B00141,2024-07-02 06:34:44.608460846,M10,OP04,Afternoon,196.0,40.6,51.1,108.7,A,None,0
B00142,2024-07-02 06:47:50.927092709,M7,OP13,Night,207.3,51.2,57.5,102.9,B,Surface,2
B00143,2024-07-02 07:00:57.245724572,M9,OP16,Afternoon,194.5,44.4,51.9,109.4,A,None,0
B00144,2024-07-02 07:14:03.564356435,M7,OP20,Afternoon,191.8,49.8,55.2,83.0,A,None,0
B00145,2024-07-02 07:27:09.882988298,M1,OP06,Afternoon,211.8,45.3,47.3,99.9,A,None,0
B00146,2024-07-02 07:40:16.201620162,M1,OP11,Afternoon,202.2,42.8,52.7,112.1,A,None,0
B00147,2024-07-02 07:53:22.520252025,M9,OP03,Night,211.6,49.8,41.8,108.1,B,None,0
B00148,2024-07-02 08:06:28.838883888,M9,OP20,Afternoon,202.3,49.2,57.0,104.9,A,None,0
B00149,2024-07-02 08:19:35.157515751,M4,OP10,Morning,207.6,50.4,52.2,94.5,B,None,0
B00150,2024-07-02 08:32:41.476147614,M9,OP01,Morning,221.0,56.4,40.3,105.5,B,Dimensional,3
B00151,2024-07-02 08:45:47.794779477,M3,OP20,Night,197.6,52.8,48.2,103.8,A,None,0
B00152,2024-07-02 08:58:54.113411341,M7,OP11,Night,193.9,57.9,70.0,89.6,C,None,0
B00153,2024-07-02 09:12:00.432043204,M6,OP12,Morning,206.4,48.8,48.5,108.4,A,Structural,2
B00154,2024-07-02 09:25:06.750675067,M8,OP14,Morning,161.3,47.1,47.5,98.6,A,None,0
B00155,2024-07-02 09:38:13.069306930,M9,OP08,Afternoon,210.6,51.8,43.9,92.1,B,None,0
B00156,2024-07-02 09:51:19.387938793,M5,OP11,Night,187.1,57.4,41.4,90.2,B,None,0
B00157,2024-07-02 10:04:25.706570657,M1,OP04,Afternoon,225.1,45.5,42.2,95.9,C,Structural,3
B00158,2024-07-02 10:17:32.025202520,M3,OP07,Night,211.8,55.6,66.1,102.1,A,None,0
B00159,2024-07-02 10:30:38.343834383,M10,OP10,Night,213.7,51.9,52.9,96.4,A,None,0
B00160,2024-07-02 10:43:44.662466246,M8,OP19,Night,214.1,48.2,38.7,92.8,C,Structural,7
B00161,2024-07-02 10:56:50.981098109,M6,OP04,Afternoon,193.1,56.0,50.2,94.5,B,None,0
B00162,2024-07-02 11:09:57.299729972,M8,OP02,Morning,196.1,45.2,58.2,101.5,A,None,0
B00163,2024-07-02 11:23:03.618361836,M9,OP18,Night,174.6,52.7,53.4,107.6,B,None,0
B00164,2024-07-02 11:36:09.936993699,M4,OP14,Afternoon,222.4,49.3,39.0,100.5,A,None,0
B00165,2024-07-02 11:49:16.255625562,M1,OP16,Morning,180.7,54.5,55.2,114.2,C,None,0
B00166,2024-07-02 12:02:22.574257425,M1,OP11,Morning,199.8,51.3,50.2,92.8,C,Dimensional,3
B00167,2024-07-02 12:15:28.892889288,M10,OP10,Afternoon,218.4,54.4,51.7,94.8,C,None,0
B00168,2024-07-02 12:28:35.211521152,M4,OP17,Afternoon,223.0,50.2,64.8,104.5,A,Surface,3
B00169,2024-07-02 12:41:41.530153015,M7,OP14,Afternoon,196.2,48.3,49.8,98.7,C,None,0
B00170,2024-07-02 12:54:47.848784878,M2,OP04,Morning,174.4,49.7,44.4,109.1,B,None,0
B00171,2024-07-02 13:07:54.167416741,M3,OP19,Afternoon,203.5,50.7,36.2,89.1,B,None,0
B00172,2024-07-02 13:21:00.486048604,M1,OP02,Morning,205.0,51.4,44.5,102.3,B,None,0
B00173,2024-07-02 13:34:06.804680468,M5,OP07,Afternoon,206.4,52.7,44.0,105.5,B,Structural,2
B00174,2024-07-02 13:47:13.123312331,M1,OP09,Afternoon,195.4,50.1,34.7,85.5,A,None,0
B00175,2024-07-02 14:00:19.441944194,M8,OP19,Night,197.9,52.7,55.4,89.5,B,Dimensional,1
B00176,2024-07-02 14:13:25.760576057,M1,OP16,Night,189.6,58.9,54.0,95.0,A,None,0
B00177,2024-07-02 14:26:32.079207920,M1,OP16,Night,202.4,47.1,49.8,89.2,C,None,0
B00178,2024-07-02 14:39:38.397839783,M2,OP18,Night,212.0,54.0,42.0,99.3,B,None,0
B00179,2024-07-02 14:52:44.716471647,M2,OP11,Afternoon,203.9,47.3,52.0,105.5,C,None,0
B00180,2024-07-02 15:05:51.035103510,M6,OP07,Morning,199.3,46.2,55.0,95.7,B,None,0
B00181,2024-07-02 15:18:57.353735373,M7,OP09,Afternoon,216.9,55.7,64.1,105.9,A,None,0
B00182,2024-07-02 15:32:03.672367236,M5,OP04,Afternoon,203.8,46.4,52.8,91.8,C,None,0
B00183,2024-07-02 15:45:09.990999099,M1,OP13,Afternoon,200.5,49.9,53.7,93.7,B,None,0
B00184,2024-07-02 15:58:16.309630963,M1,OP04,Afternoon,201.2,46.8,51.3,94.5,A,None,0
B00185,2024-07-02 16:11:22.628262826,M3,OP19,Night,181.8,59.7,48.5,98.3,C,None,0
B00186,2024-07-02 16:24:28.946894689,M2,OP02,Morning,183.6,49.9,56.3,86.8,C,None,0
B00187,2024-07-02 16:37:35.265526552,M5,OP09,Morning,198.1,45.6,49.6,88.4,B,None,0
B00188,2024-07-02 16:50:41.584158415,M10,OP12,Night,188.9,46.5,48.8,87.2,C,None,0
B00189,2024-07-02 17:03:47.902790279,M6,OP02,Night,199.3,58.5,47.1,101.9,B,None,0
B00190,2024-07-02 17:16:54.221422142,M7,OP06,Morning,212.9,49.1,47.6,102.7,B,None,0
B00191,2024-07-02 17:30:00.540054005,M4,OP05,Night,210.6,49.7,52.7,75.2,C,None,0
B00192,2024-07-02 17:43:06.858685868,M7,OP05,Morning,205.9,55.9,55.0,113.1,A,None,0
B00193,2024-07-02 17:56:13.177317731,M8,OP20,Night,212.7,55.1,44.3,84.3,B,None,0
B00194,2024-07-02 18:09:19.495949594,M1,OP05,Afternoon,215.5,46.5,51.7,107.2,B,None,0
B00195,2024-07-02 18:22:25.814581458,M6,OP04,Afternoon,214.9,46.8,42.8,108.4,B,None,0
B00196,2024-07-02 18:35:32.133213321,M8,OP09,Night,214.5,47.8,55.0,109.1,B,None,0
B00197,2024-07-02 18:48:38.451845184,M5,OP10,Morning,182.0,48.7,61.8,94.8,B,Surface,2
B00198,2024-07-02 19:01:44.770477047,M4,OP16,Morning,171.6,53.3,54.4,100.9,C,None,0
B00199,2024-07-02 19:14:51.089108910,M2,OP10,Afternoon,188.3,49.7,47.5,98.5,C,None,0
B00200,2024-07-02 19:27:57.407740774,M6,OP10,Morning,193.1,48.8,58.2,114.4,B,None,0
B00201,2024-07-02 19:41:03.726372637,M6,OP19,Night,213.9,50.0,40.1,97.9,B,None,0
B00202,2024-07-02 19:54:10.045004500,M1,OP10,Afternoon,198.6,47.7,52.4,111.1,B,None,0
B00203,2024-07-02 20:07:16.363636363,M9,OP06,Morning,192.8,56.2,72.6,91.9,C,None,0
B00204,2024-07-02 20:20:22.682268226,M6,OP17,Afternoon,202.5,47.2,43.0,95.0,A,None,0
B00205,2024-07-02 20:33:29.000900090,M3,OP05,Morning,208.0,50.1,47.4,97.6,C,None,0
B00206,2024-07-02 20:46:35.319531953,M4,OP06,Morning,211.6,52.5,48.2,100.2,B,None,0
B00207,2024-07-02 20:59:41.638163816,M4,OP15,Afternoon,193.8,52.7,41.1,99.6,B,None,0
B00208,2024-07-02 21:12:47.956795679,M3,OP19,Night,185.6,48.4,44.0,95.3,C,Surface,2
B00209,2024-07-02 21:25:54.275427542,M10,OP18,Afternoon,188.3,54.4,50.2,83.1,B,None,0
B00210,2024-07-02 21:39:00.594059405,M3,OP04,Morning,201.8,58.6,62.9,89.9,A,None,0
B00211,2024-07-02 21:52:06.912691269,M3,OP08,Afternoon,184.2,57.2,53.8,104.4,B,None,0
B00212,2024-07-02 22:05:13.231323132,M4,OP16,Morning,214.2,40.1,59.0,107.0,A,None,0
B00213,2024-07-02 22:18:19.549954995,M7,OP19,Morning,184.4,49.7,56.7,97.7,B,Structural,2
B00214,2024-07-02 22:31:25.868586858,M4,OP20,Night,176.6,47.4,52.8,93.5,A,None,0
B00215,2024-07-02 22:44:32.187218721,M9,OP03,Night,202.3,52.2,35.7,86.5,B,Dimensional,3
B00216,2024-07-02 22:57:38.505850585,M1,OP10,Morning,195.9,54.2,62.9,111.1,A,None,0
B00217,2024-07-02 23:10:44.824482448,M8,OP02,Afternoon,207.1,45.4,58.2,104.3,A,None,0
B00218,2024-07-02 23:23:51.143114311,M7,OP04,Night,192.5,53.5,52.3,90.2,A,None,0
B00219,2024-07-02 23:36:57.461746174,M2,OP06,Morning,206.0,49.9,39.8,102.7,C,Dimensional,4
B00220,2024-07-02 23:50:03.780378037,M8,OP11,Morning,215.1,49.0,38.3,100.6,A,None,0
B00221,2024-07-03 00:03:10.099009900,M1,OP14,Night,190.6,52.1,40.4,108.3,B,Surface,3
B00222,2024-07-03 00:16:16.417641764,M9,OP16,Night,207.7,49.4,44.5,101.4,B,None,0
B00223,2024-07-03 00:29:22.736273627,M9,OP19,Morning,226.9,54.5,52.9,99.3,B,Dimensional,3
B00224,2024-07-03 00:42:29.054905490,M2,OP02,Afternoon,211.6,48.4,48.0,104.9,B,Surface,2
B00225,2024-07-03 00:55:35.373537353,M7,OP17,Morning,188.1,55.3,50.7,107.9,B,None,0
B00226,2024-07-03 01:08:41.692169216,M10,OP09,Afternoon,205.0,49.9,54.4,100.1,C,None,0
B00227,2024-07-03 01:21:48.010801080,M3,OP17,Night,180.5,40.5,60.5,91.0,B,None,0
B00228,2024-07-03 01:34:54.329432943,M7,OP15,Afternoon,182.6,46.8,45.0,104.6,B,None,0
B00229,2024-07-03 01:48:00.648064806,M10,OP07,Afternoon,222.4,49.6,36.7,105.0,B,None,0
B00230,2024-07-03 02:01:06.966696669,M9,OP19,Morning,206.1,51.5,43.6,102.5,B,None,0
B00231,2024-07-03 02:14:13.285328532,M4,OP03,Morning,223.1,49.6,54.8,103.3,B,Surface,2
B00232,2024-07-03 02:27:19.603960396,M1,OP01,Morning,206.4,47.2,56.7,95.9,A,None,0
B00233,2024-07-03 02:40:25.922592259,M2,OP04,Night,191.8,57.1,56.9,101.1,A,Dimensional,4
B00234,2024-07-03 02:53:32.241224122,M1,OP18,Afternoon,200.6,55.6,44.4,107.7,A,Dimensional,3
B00235,2024-07-03 03:06:38.559855985,M5,OP08,Morning,204.0,45.2,52.6,103.4,C,None,0
B00236,2024-07-03 03:19:44.878487848,M5,OP19,Afternoon,233.2,46.6,62.2,107.6,B,None,0
B00237,2024-07-03 03:32:51.197119711,M7,OP06,Night,210.5,51.3,56.0,107.4,B,None,0
B00238,2024-07-03 03:45:57.515751575,M9,OP01,Afternoon,188.8,49.4,35.9,114.6,B,None,0
B00239,2024-07-03 03:59:03.834383438,M9,OP08,Morning,197.1,39.1,49.6,109.1,B,None,0
B00240,2024-07-03 04:12:10.153015301,M3,OP01,Morning,207.1,47.1,47.3,95.6,A,None,0
B00241,2024-07-03 04:25:16.471647164,M3,OP19,Morning,183.7,52.9,38.0,96.4,B,None,0
B00242,2024-07-03 04:38:22.790279027,M3,OP11,Night,199.7,50.4,61.7,85.3,C,None,0
B00243,2024-07-03 04:51:29.108910891,M4,OP15,Afternoon,196.9,46.3,38.9,93.6,B,None,0
B00244,2024-07-03 05:04:35.427542754,M8,OP11,Night,207.3,47.8,49.2,103.8,B,None,0
B00245,2024-07-03 05:17:41.746174617,M6,OP19,Night,198.5,49.1,60.5,107.3,B,None,0
B00246,2024-07-03 05:30:48.064806480,M8,OP10,Night,179.0,60.2,43.0,92.5,A,Dimensional,2
B00247,2024-07-03 05:43:54.383438343,M1,OP12,Morning,199.3,50.1,49.7,106.5,B,None,0
B00248,2024-07-03 05:57:00.702070207,M8,OP01,Morning,211.5,47.1,53.9,101.2,B,None,0
B00249,2024-07-03 06:10:07.020702070,M4,OP07,Afternoon,221.7,57.2,43.6,109.2,A,None,0
B00250,2024-07-03 06:23:13.339333933,M1,OP17,Morning,214.4,52.3,45.4,109.5,B,Structural,1
B00251,2024-07-03 06:36:19.657965796,M8,OP10,Night,176.1,46.8,52.4,103.2,C,None,0
B00252,2024-07-03 06:49:25.976597659,M4,OP06,Night,180.0,50.1,55.1,97.4,C,None,0
B00253,2024-07-03 07:02:32.295229522,M6,OP17,Afternoon,184.1,49.2,56.3,102.5,B,None,0
